GeoID,Pop_2015
21013,27294
21015,127163
21017,20073
21019,48488
21021,29807
21023,8329
21025,13430
21027,19993
21029,78653
21031,12860
21033,12690
21035,38441
21037,91925
21039,4903
21041,10718
21043,27224
21045,15815
21047,73484
21049,35684
21051,21047
21053,10135
21055,9198
21057,6756
21059,99333
21061,12040
21063,7650
21065,14361
21067,314767
21069,14613
21071,37679
21073,50273
21075,6259
21077,8562
21079,17175
21081,24740
21083,37251
21085,26233
21087,11022
21089,36031
21091,8710
21093,106486
21095,27613
21097,18712
21099,18489
21101,46388
21103,15544
21105,4642
21107,46281
21109,13346
21111,763509
21113,51936
21115,23212
21117,164342
21119,15700
21121,31668
21123,14193
21125,60101
21127,15893
21129,6737
21131,10707
21133,23091
21135,13576
21137,24388
21139,9324
21141,26739
21143,8289
21145,64973
21147,17861
21149,9496
21151,88276
21153,12794
21155,19263
21157,31109
21159,12352
21161,17077
21163,27853
21165,6363
21167,21448
21169,9920
21171,10653
21173,27631
21175,13292
21177,31146
21179,45117
21181,7088
21183,24216
21185,64626
21187,10710
21189,4470
21191,14463
21193,27546
21195,61804
21197,12271
21199,63827
21201,2158
21203,16950
21205,24667
21207,17636
21209,52327
21211,45591
21213,17990
21215,17979
21217,25567
21219,12437
21221,14210
21223,8763
21225,15053
21227,123159
21229,12105
21231,20404
21233,13239
21235,36000
21237,7230
21239,25876
22001,62601
22003,25602
22005,119373
22007,22846
22009,41077
22011,36477
22013,13871
22015,125588
22017,251405
22019,198693
22021,10032
22023,6802
22025,10074
22027,16251
22029,20197
22031,27064
22033,446216
22035,7295
22037,19675
22039,33789
22041,20403
22043,22346
22045,73953
22047,33136
22049,15866
22051,435555
22053,31434
22055,239429
22057,98162
22059,15004
22061,47719
22063,137675
22065,11575
22067,26428
22069,39137
22071,389738
22073,157018
22075,23568
22077,22245
22079,132316
22081,8629
22083,20529
22085,24146
22087,45384
22089,52702
22091,10569
22093,21517
22095,43639
22097,83790
22099,53921
22101,52854
22103,249968
22105,128756
22107,4726
22109,114025
22111,22445
22113,59961
22115,50706
22117,46322
22119,40075
22121,25484
22123,11282
22125,15368
22127,14527
