GeoID,Year,State,County,D_Etab,G_Etab,D_Cap,G_Cap,Pop,FD_num,FD_pct
8005,2006,Colorado,Arapahoe County,36,71,14767,7487,531619,122678,23.08
8013,2006,Colorado,Boulder County,11,47,25840,6047,284243,98226,34.56
9003,2006,Connecticut,Hartford County,69,214,12772,4118,881298,250835,28.46
9005,2006,Connecticut,Litchfield County,9,46,21075,4123,189682,60486,31.89
9009,2006,Connecticut,New Haven County,53,174,16041,4886,850207,205738,24.2
12011,2006,Florida,Broward County,137,381,12695,4565,1739348,478718,27.52
12019,2006,Florida,Clay County,15,28,11889,6369,178339,59136,33.16
12086,2006,Florida,Miami-Dade County,286,622,8412,3868,2405911,601067,24.98
12095,2006,Florida,Orange County,96,217,11285,4992,1083429,273628,25.26
12117,2006,Florida,Seminole County,34,69,12153,5988,413218,120464,29.15
13009,2006,Georgia,Baldwin County,9,11,5168,4228,46513,10216,21.96
13027,2006,Georgia,Brooks County,3,3,5436,5436,16309,825,5.06
13055,2006,Georgia,Chattooga County,6,6,4273,4273,25640,10028,39.11
13057,2006,Georgia,Cherokee County,15,37,12882,5222,193241,60006,31.05
13099,2006,Georgia,Early County,5,5,2329,2329,11648,-2976,-25.55
13111,2006,Georgia,Fannin County,6,7,3793,3251,22758,7385,32.45
13119,2006,Georgia,Franklin County,8,6,2744,3659,21956,2420,11.02
13121,2006,Georgia,Fulton County,84,215,10061,3931,845181,207577,24.56
13133,2006,Georgia,Greene County,5,9,3117,1731,15587,-83,-0.53
13135,2006,Georgia,Gwinnett County,69,139,10728,5325,740267,190368,25.72
13137,2006,Georgia,Habersham County,13,11,3124,3692,40616,13891,34.2
13145,2006,Georgia,Harris County,4,8,7322,3661,29289,1518,5.18
13163,2006,Georgia,Jefferson County,12,7,1407,2412,16889,6942,41.1
13175,2006,Georgia,Laurens County,14,12,3377,3940,47287,21401,45.26
13193,2006,Georgia,Macon County,3,7,4788,2052,14364,-222,-1.55
13199,2006,Georgia,Meriwether County,6,6,3782,3782,22694,5911,26.05
13213,2006,Georgia,Murray County,9,6,4463,6695,40173,12013,29.9
13225,2006,Georgia,Peach County,8,8,3188,3188,25510,5438,21.32
13227,2006,Georgia,Pickens County,4,8,7042,3521,28169,8116,28.81
13229,2006,Georgia,Pierce County,4,5,4375,3500,17502,-1610,-9.2
13251,2006,Georgia,Screven County,4,3,3721,4961,14884,67,0.45
13273,2006,Georgia,Terrell County,4,4,2492,2492,9969,-4671,-46.86
13273,2006,Kentucky,Crittenden County,4,4,2316,2316,9264,-5023,-54.22
13291,2006,Georgia,Union County,5,5,4092,4092,20460,922,4.51
13311,2006,Georgia,White County,6,5,4262,5115,25575,6607,25.83
13317,2006,Georgia,Wilkes County,7,7,1512,1512,10586,-814,-7.69
13321,2006,Georgia,Worth County,4,4,5445,5445,21783,4490,20.61
16001,2006,Idaho,Ada County,31,49,11725,7418,363498,96661,26.59
16027,2006,Idaho,Canyon County,17,23,10128,7486,172188,38704,22.48
16031,2006,Idaho,Cassia County,9,6,2364,3546,21281,6864,32.25
16031,2006,Kansas,Seward County,9,6,2471,3707,22246,7078,31.82
16055,2006,Idaho,Kootenai County,7,16,18501,8094,129510,48443,37.4
17015,2006,Illinois,Carroll County,3,5,5288,3173,15866,106,0.67
17027,2006,Illinois,Clinton County,8,14,4631,2646,37051,8192,22.11
17031,2006,Illinois,Cook County,493,1452,10477,3557,5165495,991312,19.19
17043,2006,Illinois,DuPage County,45,172,20193,5283,908685,189642,20.87
17065,2006,Illinois,Hamilton County,3,3,2832,2832,8497,-5250,-61.79
17065,2006,Iowa,Decatur County,3,3,2858,2858,8576,-5198,-60.61
17089,2006,Illinois,Kane County,36,77,13477,6301,485179,107795,22.22
17095,2006,Illinois,Knox County,8,11,6649,4836,53196,25392,47.73
