SEQN,Grocery,Nonfood,Other,EatOut,Delivery
84347,428,5.40E-79,85,128,5.40E-79
84348,400,5.40E-79,5.40E-79,150,5.40E-79
84349,300,50,35,60,5.40E-79
84350,400,120,5.40E-79,150,5.40E-79
84351,300,100,50,300,200
84352,400,70,200,100,60
84353,400,200,300,200,5.40E-79
84354,200,5.40E-79,50,100,5.40E-79
84355,999999,999999,5.40E-79,5.40E-79,999999
84356,500,5.40E-79,50,150,40
84357,300,5.40E-79,200,100,5.40E-79
84358,400,5.40E-79,100,5.40E-79,25
84359,300,5.40E-79,120,300,5.40E-79
84360,428,5.40E-79,5.40E-79,300,5.40E-79
84361,535,85,128,321,5.40E-79
84362,450,5.40E-79,200,100,13
84363,900,200,200,300,5.40E-79
84364,428,5.40E-79,214,20,20
84365,500,5.40E-79,20,30,10
84366,,,,,
84367,250,5.40E-79,600,150,5.40E-79
84368,5.40E-79,5.40E-79,500,999999,5.40E-79
84369,,,,,
84370,800,5.40E-79,200,150,5.40E-79
84371,500,214,80,60,5.40E-79
84372,150,50,5.40E-79,5.40E-79,5.40E-79
84373,350,5.40E-79,90,50,140
84374,250,5.40E-79,100,50,5.40E-79
84375,200,40,5.40E-79,5.40E-79,5.40E-79
84376,400,100,5.40E-79,100,20
84377,5.40E-79,5.40E-79,214,5.40E-79,30
84378,350,5.40E-79,250,5.40E-79,5.40E-79
84379,500,5.40E-79,5.40E-79,400,5.40E-79
84380,800,5.40E-79,50,50,5.40E-79
84381,100,5.40E-79,50,20,5.40E-79
84382,428,85,5.40E-79,257,5.40E-79
84383,600,50,200,100,100
84384,600,200,5.40E-79,300,15
84385,350,75,200,250,5.40E-79
84386,800,80,120,150,50
84387,500,5.40E-79,5.40E-79,72,5.40E-79
84388,500,100,5.40E-79,40,5.40E-79
84389,642,257,5.40E-79,128,128
84390,1071,5.40E-79,257,321,5.40E-79
84391,550,150,150,300,30
84392,428,5.40E-79,5.40E-79,100,214
84393,800,5.40E-79,5.40E-79,800,100
84394,400,5.40E-79,100,40,5.40E-79
84395,250,5.40E-79,250,45,45
