GeoID,Year,D_Etab,D_Emp,D_Pay,G_Etab,G_Emp,G_Pay,Pop_2010,FD_num_2010,FD_pct_2010
26023,2010,10,65,1040,3,58,1276,45248,6527,14.43
26025,2010,22,148,2440,24,469,9765,136146,32177,23.63
26027,2010,9,68,1133,12,240,4094,52293,3127,5.98
26029,2010,6,45,750,9,163,4046,25949,1523,5.87
26031,2010,5,23,475,5,174,3600,26152,3175,12.14
26033,2010,5,52,706,13,317,5747,38520,10696,27.77
26035,2010,10,63,980,8,198,3442,30926,1906,6.16
26037,2010,4,29,402,7,176,2890,75382,13342,17.7
26045,2010,12,81,1433,14,373,7163,107759,21806,20.24
26047,2010,5,24,483,17,319,6873,32694,5769,17.65
26049,2010,61,416,6782,101,2731,53754,425790,127082,29.85
26051,2010,8,76,1148,3,81,1398,25692,2362,9.19
26055,2010,10,47,793,23,839,15668,86986,15290,17.58
26057,2010,7,49,601,11,184,3251,42476,2836,6.68
26063,2010,8,46,659,9,219,2961,33118,9801,29.59
26065,2010,25,167,3494,45,1343,22745,280895,92267,32.85
26069,2010,8,53,711,8,225,3710,25887,6667,25.76
26075,2010,20,158,2588,21,680,14343,160248,42431,26.48
26077,2010,23,213,3506,43,1276,23500,250331,64961,25.95
26081,2010,65,512,8599,118,2908,70915,602622,134218,22.27
26091,2010,10,125,1799,20,605,10696,99892,22041,22.06
26093,2010,8,65,962,21,882,23286,180967,54312,30.01
26099,2010,82,599,9669,143,4939,108611,840978,195209,23.21
26101,2010,6,31,462,10,205,4308,24733,3056,12.36
26103,2010,8,86,1295,13,476,7677,67077,10896,16.24
26105,2010,6,40,498,6,94,1480,28705,1656,5.77
26111,2010,8,56,878,13,339,6593,83629,21895,26.18
26115,2010,6,73,1044,22,724,13486,152021,31287,20.58
26117,2010,18,109,1570,15,415,6107,63342,3775,5.96
26121,2010,20,183,2940,24,605,10046,172188,60457,35.11
26123,2010,9,69,1160,8,246,4282,48460,1590,3.28
26125,2010,110,753,12387,255,8418,190553,1202362,360771,30.01
26127,2010,7,59,924,8,193,2826,26570,980,3.69
26129,2010,6,31,567,6,132,2228,21699,9,0.04
26133,2010,8,40,721,7,138,2370,23528,3707,15.76
26137,2010,5,48,742,6,114,2261,24164,2960,12.25
26139,2010,19,136,1889,33,956,17941,263801,86740,32.88
26143,2010,5,28,394,6,124,2070,24449,4651,19.02
26145,2010,35,221,3436,42,1100,23217,200169,41373,20.67
26147,2010,23,158,2236,27,605,12654,163040,53236,32.65
26149,2010,13,94,1588,16,266,4718,61295,6833,11.15
26151,2010,12,65,980,8,285,4810,43114,2681,6.22
26155,2010,15,79,1233,12,399,7643,70648,11238,15.91
26159,2010,14,87,1376,17,444,7754,76258,4527,5.94
